aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,worm_ID,worm_area
366,0.098,33,0,33,33,3.223,33,N2,L4+14,mannitol,M3_N2_D3,78159.668
367,0.195,36,4.243,33,39,7.031,72,N2,L4+14,mannitol,M3_N2_D3,78159.668
368,0.781,33.25,2.121,30,37,25.977,266,N2,L4+14,mannitol,M3_N2_D3,78159.668
369,0.293,47,17.088,31,65,13.77,141,N2,L4+14,mannitol,M3_N2_D3,78159.668
370,0.098,39,0,39,39,3.809,39,N2,L4+14,mannitol,M3_N2_D3,78159.668
371,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
372,0.391,44.5,15.524,32,64,17.383,178,N2,L4+14,mannitol,M3_N2_D3,78159.668
373,0.098,32,0,32,32,3.125,32,N2,L4+14,mannitol,M3_N2_D3,78159.668
374,0.195,47.5,21.92,32,63,9.277,95,N2,L4+14,mannitol,M3_N2_D3,78159.668
375,0.195,44.5,13.435,35,54,8.691,89,N2,L4+14,mannitol,M3_N2_D3,78159.668
376,0.586,50.5,11.149,34,61,29.59,303,N2,L4+14,mannitol,M3_N2_D3,78159.668
377,0.098,36,0,36,36,3.516,36,N2,L4+14,mannitol,M3_N2_D3,78159.668
378,0.293,31.667,1.528,30,33,9.277,95,N2,L4+14,mannitol,M3_N2_D3,78159.668
379,0.293,35.333,5.132,31,41,10.352,106,N2,L4+14,mannitol,M3_N2_D3,78159.668
380,0.098,35,0,35,35,3.418,35,N2,L4+14,mannitol,M3_N2_D3,78159.668
381,0.391,43,10.677,34,58,16.797,172,N2,L4+14,mannitol,M3_N2_D3,78159.668
382,0.586,49.333,10.191,36,63,28.906,296,N2,L4+14,mannitol,M3_N2_D3,78159.668
383,0.098,39,0,39,39,3.809,39,N2,L4+14,mannitol,M3_N2_D3,78159.668
384,0.195,39,7.071,34,44,7.617,78,N2,L4+14,mannitol,M3_N2_D3,78159.668
385,0.098,48,0,48,48,4.688,48,N2,L4+14,mannitol,M3_N2_D3,78159.668
386,0.293,47.333,11.676,37,60,13.867,142,N2,L4+14,mannitol,M3_N2_D3,78159.668
387,0.098,47,0,47,47,4.59,47,N2,L4+14,mannitol,M3_N2_D3,78159.668
388,0.098,35,0,35,35,3.418,35,N2,L4+14,mannitol,M3_N2_D3,78159.668
389,0.586,43.5,6.716,34,53,25.488,261,N2,L4+14,mannitol,M3_N2_D3,78159.668
390,0.098,35,0,35,35,3.418,35,N2,L4+14,mannitol,M3_N2_D3,78159.668
391,0.098,30,0,30,30,2.93,30,N2,L4+14,mannitol,M3_N2_D3,78159.668
392,0.195,47,14.142,37,57,9.18,94,N2,L4+14,mannitol,M3_N2_D3,78159.668
393,0.098,62,0,62,62,6.055,62,N2,L4+14,mannitol,M3_N2_D3,78159.668
394,0.195,33,2.828,31,35,6.445,66,N2,L4+14,mannitol,M3_N2_D3,78159.668
395,0.293,42.333,9.018,33,51,12.402,127,N2,L4+14,mannitol,M3_N2_D3,78159.668
396,0.098,35,0,35,35,3.418,35,N2,L4+14,mannitol,M3_N2_D3,78159.668
397,0.684,46,12.649,30,61,31.445,322,N2,L4+14,mannitol,M3_N2_D3,78159.668
398,0.586,42.833,10.998,34,63,25.098,257,N2,L4+14,mannitol,M3_N2_D3,78159.668
399,0.098,65,0,65,65,6.348,65,N2,L4+14,mannitol,M3_N2_D3,78159.668
400,0.098,46,0,46,46,4.492,46,N2,L4+14,mannitol,M3_N2_D3,78159.668
401,0.195,52.5,9.192,46,59,10.254,105,N2,L4+14,mannitol,M3_N2_D3,78159.668
402,0.098,33,0,33,33,3.223,33,N2,L4+14,mannitol,M3_N2_D3,78159.668
403,0.098,50,0,50,50,4.883,50,N2,L4+14,mannitol,M3_N2_D3,78159.668
404,0.195,39,5.657,35,43,7.617,78,N2,L4+14,mannitol,M3_N2_D3,78159.668
405,0.098,55,0,55,55,5.371,55,N2,L4+14,mannitol,M3_N2_D3,78159.668
406,0.098,39,0,39,39,3.809,39,N2,L4+14,mannitol,M3_N2_D3,78159.668
407,0.488,56.2,4.438,50,61,27.441,281,N2,L4+14,mannitol,M3_N2_D3,78159.668
408,0.098,49,0,49,49,4.785,49,N2,L4+14,mannitol,M3_N2_D3,78159.668
409,0.098,59,0,59,59,5.762,59,N2,L4+14,mannitol,M3_N2_D3,78159.668
410,0.488,46,8.746,36,54,22.461,230,N2,L4+14,mannitol,M3_N2_D3,78159.668
411,0.098,59,0,59,59,5.762,59,N2,L4+14,mannitol,M3_N2_D3,78159.668
412,0.488,46,8.746,36,54,22.461,230,N2,L4+14,mannitol,M3_N2_D3,78159.668
